bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,sr_pairs,ground_truth_sr_pairs
20,550897,7,4,49,6,6
20,545339,7,4,49,11,14
20,538243,7,4,49,12,14
20,630601,7,4,49,4,5
20,864371,7,4,49,5,7
20,934189,7,4,49,6,6
20,760973,7,4,49,9,12
20,651611,7,4,49,14,14
20,576599,7,4,49,11,12
20,539069,7,4,49,3,3
20,581543,7,4,49,1,3
20,797191,7,4,49,9,10
20,720457,7,4,49,1,1
20,777083,7,4,49,1,3
20,583201,7,4,49,3,5
20,614039,7,4,49,6,7
20,596867,7,4,49,14,14
20,700313,7,4,49,3,3
20,888929,7,4,49,2,2
20,712529,7,4,49,0,0
20,749687,7,4,49,3,3
20,607559,7,4,49,0,1
20,980051,7,4,49,3,4
20,783907,7,4,49,6,11
20,571511,7,4,49,11,11
20,614777,7,4,49,4,4
20,612211,7,4,49,1,3
20,708523,7,4,49,2,4
20,690199,7,4,49,4,4
20,670907,7,4,49,8,9
20,653483,7,4,49,5,5
20,568003,7,4,49,0,0
20,647467,7,4,49,14,14
20,545323,7,4,49,9,10
20,566003,7,4,49,10,11
20,716843,7,4,49,1,2
20,610381,7,4,49,0,0
20,756611,7,4,49,6,6
20,593039,7,4,49,3,3
20,723253,7,4,49,13,14
20,648113,7,4,49,3,4
20,601063,7,4,49,5,7
20,568861,7,4,49,3,3
20,884893,7,4,49,4,4
20,545107,7,4,49,14,17
20,888673,7,4,49,4,5
20,853751,7,4,49,1,1
20,563879,7,4,49,18,19
20,924233,7,4,49,5,5
20,878357,7,4,49,2,2
20,585223,7,4,49,3,6
20,875053,7,4,49,3,3
20,529651,7,4,49,6,6
20,592283,7,4,49,1,1
20,573037,7,4,49,7,8
20,555641,7,4,49,6,8
20,544163,7,4,49,2,2
20,702463,7,4,49,3,4
20,622001,7,4,49,8,8
20,828263,7,4,49,5,5
20,860411,7,4,49,13,13
20,864371,7,4,49,0,0
20,573043,7,4,49,9,11
20,807791,7,4,49,5,7
20,545869,7,4,49,15,15
20,591221,7,4,49,4,5
20,625249,7,4,49,6,8
20,620969,7,4,49,6,6
20,640603,7,4,49,6,6
20,749977,7,4,49,5,7
20,600757,7,4,49,13,14
20,926047,7,4,49,3,4
20,974069,7,4,49,5,7
20,732443,7,4,49,8,9
20,567311,7,4,49,5,5
20,750089,7,4,49,4,5
20,546773,7,4,49,4,4
20,552533,7,4,49,5,6
20,854429,7,4,49,1,3
20,650899,7,4,49,3,4
20,547279,7,4,49,10,10
20,558443,7,4,49,11,11
20,528007,7,4,49,5,5
20,713809,7,4,49,5,5
20,581717,7,4,49,17,18
20,770699,7,4,49,14,14
20,537851,7,4,49,12,12
20,617581,7,4,49,5,6
20,645797,7,4,49,6,7
20,631451,7,4,49,10,11
20,598991,7,4,49,1,3
20,664831,7,4,49,1,5
20,547693,7,4,49,2,2
20,644251,7,4,49,6,6
20,799067,7,4,49,5,7
20,937361,7,4,49,5,7
20,723253,7,4,49,9,9
20,761029,7,4,49,6,7
20,658523,7,4,49,4,5
20,842603,7,4,49,1,1
20,613621,7,4,49,5,8
20,879763,7,4,49,8,8
20,864713,7,4,49,1,1
20,726437,7,4,49,8,8
20,625873,7,4,49,2,2
20,874369,7,4,49,7,7
20,773887,7,4,49,3,3
20,638611,7,4,49,9,11
20,544283,7,4,49,9,11
20,926047,7,4,49,10,11
20,1017937,7,4,49,5,6
20,532409,7,4,49,2,2
20,699359,7,4,49,2,3
20,563677,7,4,49,2,2
20,525227,7,4,49,17,17
20,702157,7,4,49,3,3
20,664831,7,4,49,9,9
20,526261,7,4,49,3,3
20,539569,7,4,49,4,4
20,644849,7,4,49,2,2
20,628883,7,4,49,0,0
20,687133,7,4,49,7,7
20,807791,7,4,49,1,1
20,841499,7,4,49,0,0
20,555817,7,4,49,19,19
20,586199,7,4,49,7,7
20,661631,7,4,49,4,4
20,588139,7,4,49,5,5
20,848059,7,4,49,2,2
20,678751,7,4,49,6,6
20,713809,7,4,49,5,6
20,601063,7,4,49,3,3
20,573431,7,4,49,8,8
20,604391,7,4,49,9,10
20,834443,7,4,49,13,14
20,568861,7,4,49,4,4
20,538243,7,4,49,2,2
20,814733,7,4,49,13,13
20,637331,7,4,49,5,6
