lattice_id,u,s,smoothness_value,smoothness_index,cost
115,889331608,-259647,71,19,97
116,208289151,-17992,173,39,73
116,189431697,61567,193,43,85
116,94732092,47027,41,12,127
116,56807660,-3379,109,28,144
116,1609990668,344563,211,46,210
116,93095177175,57632306,149,34,256
117,85050966,1081,47,14,65
117,10631889216,653591,181,41,436
117,765302923,-146042,137,32,169
118,52749970,-17081,31,10,117
118,31010762653,-16263335,197,44,269
119,23005125,44588,157,36,429
119,6636862375,1267182,113,29,101
119,390971529,642400,73,20,465
120,10399116189,109181,101,25,290
121,913979066,179783,113,29,66
121,17920584,2951,227,48,117
121,1578597475,1845771,223,47,296
121,394636725,448799,79,21,247
121,35830509,-4757,71,19,98
121,143380125,39061,67,18,250
121,860634775,588391,127,30,290
121,1182740881,177103,197,44,163
122,198982875,151264,163,37,115
122,18099900,24299,47,14,225
122,90481248,103243,43,13,295
123,328311225,-4189,71,19,208
123,46921875,19673,191,42,172
124,57972915,-667,29,9,138
124,231885423,-8905,137,32,508
124,318809925,-44776,193,43,298
125,24532992,4171,97,24,209
125,269901450,84419,71,19,155
125,613224612,4087,67,18,168
125,2970344000,2356659,211,46,159
125,24525696,-3125,5,2,131
126,4096621529,287180,173,39,150
126,4094715625,-1618724,59,16,418
127,410338673,-844,211,46,68
127,878479238,-819727,163,37,271
127,7732176725,-5654167,211,46,246
129,20081250,1517,41,12,67
129,40146435,-13031,157,36,121
129,341796875,441414,179,40,215
129,10850668829,7613009,83,22,268
129,1769782365,2765861,181,41,459
130,17328168,395,79,21,178
130,19132550976,-14638189,43,13,555
131,473899888,35011,223,47,137
131,227870720,-286443,103,26,847
132,1457171235,492704,173,39,141
132,1040020254,-464411,211,46,183
132,245939085,6346,167,38,139
133,43966923,11881,109,28,67
133,285719000,11227,109,28,207
133,22000363,22842,47,14,254
133,175765205,-54963,197,44,166
134,17773437500,24181421,173,39,251
135,7169930625,6468578,181,41,223
136,4260587175,1676849,227,48,295
136,21294351351,-200279,127,30,294
136,6652963772091,-1583612284,179,40,347
137,202956030,-7843,31,10,62
137,203203125,239252,107,27,289
139,429715545,-146261,67,18,194
140,283725750,41323,43,13,84
140,21801780,-20099,199,45,247
140,152755200,2047,89,23,315
141,92501838,32333,149,34,74
141,1573295724,1314139,223,47,198
141,314475777,79460,137,32,180
142,743328586,277611,61,17,90
143,29726293194,-1185811,109,28,199
143,294765625,90906,139,33,215
143,260029484,22379,139,33,194
143,4212897500,782399,149,34,247
144,591592248,411763,83,22,387
144,3788645211,5090107,59,16,504
145,260048880,-11899,163,37,211
145,207499396808,41820833,211,46,194
145,307359360,14803,131,31,274
147,49896405,-2669,157,36,142
147,12075883785,307877,157,36,191
147,21130570240,-1687599,139,33,286
149,595067473,6745,71,19,204
149,11594866745,-8817451,73,20,347
150,20694219,4958,67,18,46
150,590817160087,-88823334,151,35,161
150,13952170232,-13080943,167,38,398
150,747429508854,29955229,197,44,338
150,351735384,17947,137,32,188
150,517708422,476897,137,32,302
150,62088488,20705,101,25,179
151,127035441,84050,41,12,65
151,4079249161,-1331264,61,17,108
152,132551601,27136,53,15,58
153,24544609375,16350431,151,35,200
153,27378670,3381,23,8,118
153,575757325,876256,197,44,366
153,18511714375,6019011,151,35,182
154,243931419,-142450,37,11,282
155,12791491713,1512338,191,42,125
155,20456865,-7102,67,18,94
155,286797225,301687,103,26,236
156,24171875,-3648,19,7,70
156,217270625,-309082,73,20,397
156,14359756775,-503887,151,35,275
156,1739903165,-734491,211,46,328
156,24176295,772,193,43,82
156,217782019,202312,19,7,146
156,16320840718,2362693,157,36,195
156,1015197755,-174211,173,39,149
157,19617609,-1990,199,45,119
157,156926133,-30659,43,13,128
157,255047940,-6847,167,38,167
157,1786013064,629555,83,22,199
157,1236503840,469103,167,38,156
157,58909760,50963,113,29,154
158,21617200,12423,101,25,242
158,107967816,-56069,227,48,220
158,280908000,45899,83,22,303
160,63869000,100457,127,30,287
160,7592570557,4113940,173,39,118
160,2533712896,4227357,199,45,682
161,322834050,116603,19,7,94
161,968015972,-136369,83,22,377
161,198608025,12673,29,9,226
162,24694285,-14442,83,22,135
162,1210137214,-590409,197,44,133
162,24708684,-43,43,13,95
162,2990827476,1071509,103,26,173
162,1235909367,473017,139,33,171
162,74146996,20815,181,41,184
162,2990218842,462875,23,8,266
165,3451672367,5107035,131,31,338
166,59830225,36058,149,34,97
166,1694851494,683429,211,46,424
167,58563232,9559,79,21,154
167,2363198656,1533845,107,27,418
168,21506573979,25982399,223,47,357
169,1516443410339,37861163,223,47,244
171,78239525,10137,109,28,74
171,19543914,-13433,101,25,174
171,39127725,13031,157,36,230
171,958403475,93472,127,30,210
172,20663500,917,131,31,85
172,351384000,120089,101,25,441
174,168070500,9943,163,37,99
174,24024195,15544,67,18,102
174,12007292661,2967161,79,21,181
174,264062500,-32661,191,42,141
174,191953125,-116083,173,39,171
176,1780987065,-26887,167,38,167
176,1363791000,202193,149,34,151
176,27846975,18632,137,32,122
