lattice_id,u,s,smoothness_value,smoothness_index,cost
28,265939245,2413,127,30,170
29,352218537,-79588,197,44,291
29,22000363,16960,53,15,243
29,1127357,3,3,1,234
29,12403125,2231,97,24,70
29,95295690,34277,227,48,238
29,95249385,-12028,97,24,156
29,124521705,-50912,43,13,215
29,563550,-127,127,30,77
29,9582300,-209,19,7,122
29,365234375,-28321,223,47,155
29,410921875,1342,61,17,132
29,5078125,5032,37,11,133
29,7330400,2599,113,29,155
30,7768320,3233,61,17,299
30,38811136,-14299,181,41,501
31,3182179,-1216,19,7,82
31,2543541,-3175,127,30,282
31,10814375,-9168,191,42,250
31,21896462016,434527,131,31,258
31,637000,321,107,27,86
31,4461600,4847,131,31,128
31,8917095,3589,97,24,118
31,325450125,-529523,103,26,412
31,64976275,35017,97,24,80
32,14171157,1096,137,32,69
32,833833,300,5,2,63
32,140873040,5963,89,23,184
32,10000165,-2231,97,24,198
32,62488426,-26549,191,42,179
32,241026786,135749,151,35,234
32,9172800,3937,127,30,234
32,10841600,5671,107,27,370
32,37531648,22663,173,39,655
32,127527400,-3149,67,18,174
32,240945152,54115,137,32,701
33,528125,582,97,24,125
33,4229225,8881,107,27,634
33,8984250,16019,193,43,375
33,127817235,151829,131,31,293
33,2593937500,2118741,127,30,201
34,54946125,-17168,37,11,157
34,53535482,-193,193,43,128
34,714025,216,3,1,260
34,5000567,3904,61,17,109
34,6428125,3844,31,10,94
34,57857800,39271,227,48,273
34,3568572,-473,43,13,122
34,17853836,8611,109,28,181
34,714714,905,181,41,176
34,714000,191,191,42,168
34,65025000,68381,61,17,215
34,2143750,2323,101,25,143
35,595350,127,127,30,69
35,20253807,16225,59,16,243
35,14880348,-227,227,48,177
35,937461924,1176145,137,32,380
35,70858800,27263,199,45,207
35,20462131872,1341247,179,40,294
35,32752512,15247,193,43,298
35,6554520,7067,191,42,166
35,6561000,13547,31,10,402
36,687225,92,23,8,54
36,7563150,4687,109,28,103
36,62481375,-47728,157,36,399
36,7560000,1537,53,15,200
36,8930250,-2479,67,18,394
36,33637032,-32485,89,23,467
36,11681280,19,19,7,234
36,11675664,-5597,193,43,434
36,900000000,542903,211,46,383
36,11679525,-1736,31,10,207
36,116208400,82923,211,46,125
36,116160000,34523,79,21,210
36,4811400,1469,113,29,476
36,601261947,20572,139,33,422
36,11694375,13114,83,22,396
36,8944320,11591,173,39,235
36,152064000,207607,181,41,339
37,5140443,-4061,131,31,178
38,12478125,4154,67,18,133
38,1612078125,814,37,11,215
39,7728149,1675,67,18,43
39,7174090,-493,29,9,98
39,9938999,4961,41,12,96
39,44708300,5129,223,47,259
39,1395151488200,-168588223,223,47,382
40,125444088,965,193,43,158
40,742203,-64,2,0,157
40,2779161275,113627,83,22,265
40,86806489,-38750,31,10,108
40,10385793,-5945,41,12,147
40,214358881,-156282,61,17,129
41,7521514,-515,103,26,81
41,112920392,89957,181,41,203
41,9193600,9,3,1,122
41,42634592,9761,227,48,119
41,22596145,30058,113,29,263
41,14210196,1919,101,25,95
41,4183088,4183,89,23,103
41,140320193,-91015,167,38,135
41,935106029,-968691,139,33,215
41,7592570557,10365325,29,9,410
41,321911031,135346,59,16,83
42,9058973,4745,73,20,114
42,9046619855,8236754,83,22,188
42,89852906,65145,101,25,87
42,2400123635,1507734,227,48,134
43,11682825,4366,59,16,67
43,2697695,2666,43,13,179
43,897974,-369,41,12,103
44,9282325,-1727,157,36,94
44,9282325,-1727,157,36,94
44,6185025,-4343,101,25,211
44,6185025,-4343,101,25,211
44,563150313,-82175,173,39,281
44,563150313,-82175,173,39,281
44,1213014231,-101897,173,39,312
44,1213014231,-101897,173,39,312
45,2433431,-508,127,30,46
45,19471375,-137,137,32,207
45,198846076,74391,181,41,79
45,811538,225,5,2,73
45,71373939,-21605,149,34,110
45,207536175,-159953,97,24,481
45,64891827,-13213,181,41,257
45,25977105,15089,191,42,355
46,6762600,53,53,15,94
46,7996800,4699,127,30,270
46,614250,-527,31,10,195
46,2460375,1267,181,41,149
46,614125,-652,163,37,189
46,4303125,-314,157,36,135
46,103950000,52687,59,16,259
46,1660753125,-1603883,173,39,472
47,1323135,17,17,6,79
48,20992335,1711,59,16,75
48,83960569,-1927,47,14,197
48,923124475,-462981,97,24,223
48,5719065625,4368241,113,29,352
48,79366625,-4172,149,34,186
