bit_length,semiprime,lattice_dimension,precision_parameter,babais_approximation_distance,refined_approximation_distance,enum_distance,iterations
120,6.85771E+35,40,4,182,160,160,3
120,8.40218E+35,40,4,206,189,189,19
120,7.978E+35,40,4,276,253,253,10
120,7.64304E+35,40,4,202,192,192,12
120,1.14281E+36,40,4,236,232,232,12
120,8.66593E+35,40,4,200,199,199,126
120,8.20089E+35,40,4,200,196,196,33
120,8.12371E+35,40,4,159,152,152,7
120,7.85328E+35,40,4,193,191,191,6
120,7.77053E+35,40,4,203,200,200,65
120,8.666E+35,40,4,200,198,198,13
120,1.08504E+36,40,4,218,194,194,10
120,1.13637E+36,40,4,255,250,250,34
120,9.20619E+35,40,4,219,216,216,4
120,8.29669E+35,40,4,227,222,222,14
120,8.9368E+35,40,4,179,164,164,4
120,6.77731E+35,40,4,247,245,245,29
120,9.47832E+35,40,4,231,226,226,58
120,8.31468E+35,40,4,211,202,202,120
120,9.67789E+35,40,4,205,195,195,86
120,8.2223E+35,40,4,177,174,174,6
120,6.65839E+35,40,4,210,208,208,42
120,6.67231E+35,40,4,184,168,168,5
120,7.43249E+35,40,4,323,321,321,4
120,7.60892E+35,40,4,208,199,199,16
120,7.26234E+35,40,4,174,173,173,21
120,9.11178E+35,40,4,193,176,178,17
120,7.40049E+35,40,4,166,152,152,3
120,1.13499E+36,40,4,187,184,184,19
120,8.97125E+35,40,4,194,168,168,9
120,7.89644E+35,40,4,260,248,248,19
120,7.23144E+35,40,4,164,153,153,15
120,7.78792E+35,40,4,198,193,193,9
120,9.34E+35,40,4,186,168,168,34
120,1.00417E+36,40,4,154,148,148,4
120,1.14003E+36,40,4,291,286,286,32
120,9.08213E+35,40,4,245,219,219,3
120,7.58949E+35,40,4,366,361,361,36
120,1.19818E+36,40,4,293,285,285,5
120,6.70633E+35,40,4,208,176,176,27
120,1.09534E+36,40,4,211,178,178,18
120,8.06885E+35,40,4,262,244,244,11
120,1.10078E+36,40,4,181,167,167,14
120,6.82589E+35,40,4,224,210,210,14
120,9.5978E+35,40,4,184,169,169,15
120,1.00447E+36,40,4,191,184,184,12
120,1.12682E+36,40,4,376,359,359,46
120,7.98105E+35,40,4,241,232,232,7
120,1.0451E+36,40,4,179,167,167,68
120,8.08774E+35,40,4,257,219,219,4
120,7.96436E+35,40,4,188,183,183,4
120,7.12872E+35,40,4,289,285,285,30
120,8.00531E+35,40,4,191,190,190,55
120,8.25524E+35,40,4,219,210,210,38
120,9.30828E+35,40,4,178,175,175,7
120,9.19476E+35,40,4,194,179,179,4
120,9.88928E+35,40,4,245,223,223,7
120,8.75576E+35,40,4,184,168,168,14
120,7.3443E+35,40,4,215,207,207,16
120,6.90384E+35,40,4,208,170,170,8
120,1.12833E+36,40,4,181,179,179,5
120,8.63805E+35,40,4,189,187,187,4
120,8.15538E+35,40,4,301,300,300,52
