lattice_id,u,s,smoothness_value,smoothness_index,cost
27,31320375,3683,127,30,102
27,19921875,-6929,41,12,128
27,1422135,-1351,193,43,236
28,2539732,79,79,21,37
28,921125205,77717,109,28,175
28,13557687,12871,211,46,169
28,866683545,-184679,163,37,161
30,6975757441,-956884,113,29,105
30,51292334125,-16416368,223,47,139
31,2750517,-598,23,8,67
31,5498361,-3869,73,20,144
31,269440587,-168683,97,24,271
32,1127357,-309,103,26,46
32,80607744,-20375,163,37,329
32,14085981,-9844,107,27,360
32,49592655,-24649,157,36,404
33,386683451,129076,61,17,130
33,3714347,3425,137,32,144
33,232099868,167243,79,21,198
33,5573750,7367,139,33,250
34,1660594,1045,19,7,114
34,181412421827,-59261323,173,39,247
34,1106105,-261,29,9,79
34,8289281,-8464,23,8,225
34,537788251,94375,151,35,227
35,9457525,1416,59,16,60
35,24577234819335,325266776,67,18,304
35,5091075,-676,13,5,139
35,35668380,26123,173,39,162
35,210231450,14873,139,33,242
35,2910897,1325,53,15,366
35,1747256940,786347,191,42,283
36,58522500,37843,71,19,166
36,6081075,4747,101,25,255
36,460033668,511363,101,25,423
36,66910725,71117,197,44,270
36,760500,959,137,32,206
36,9882675,8642,149,34,184
37,897974,235,47,14,94
37,246549009168,7436293,227,48,478
37,1156019074,628981,41,12,284
37,9882516,7387,89,23,256
37,70001155,-22487,199,45,229
37,1412376245,232798,167,38,475
38,539250880,84667,179,40,283
38,739840,243,3,1,98
38,6662656,6283,103,26,154
38,4874240000,-443827,139,33,531
38,3699696,1711,59,16,137
38,37730000,10553,173,39,263
38,1376829440,1918617,139,33,511
39,2072671875,-595607,199,45,228
40,2767149,4,2,0,182
40,67009852,44943,211,46,177
40,553644,215,43,13,178
40,8850625,-4239,157,36,145
40,1409416875,-720217,127,30,268
40,6086535,-1184,37,11,110
40,6086340,-1379,197,44,167
40,189921875,95728,193,43,96
40,4984672,3811,103,26,190
40,553696,267,89,23,201
40,6093750,6031,163,37,118
40,3877632,3629,191,42,364
40,280616875,28372,173,39,118
40,122285625,-22184,59,16,139
40,1660120,-167,167,38,95
40,9411920,3627,31,10,111
41,1318707,-71,71,19,54
41,4615908,185,37,11,72
41,1163593475,431279,157,36,197
41,658845,-544,17,6,117
42,595595,106,53,15,38
42,595350,-139,139,33,70
42,10122255,-1058,23,8,100
42,4171596,3173,167,38,142
42,4169880,1457,47,14,136
43,731250,127,127,30,43
43,8044400,2047,89,23,194
43,29255499,10579,149,34,202
43,136718750,-1251,139,33,154
44,22370117,-4066,107,27,56
44,258039971875,-53687091,127,30,238
44,1982572711910,-55850147,193,43,286
45,682227,-332,83,22,57
45,1365525,407,37,11,82
45,6141250,-1781,137,32,225
45,184277093,-13837,137,32,85
45,24589565,17441,163,37,176
45,4475300830,-2968769,103,26,218
45,11594583,-8920,223,47,154
45,9555975,149,149,34,119
45,1638687375,-136784,103,26,190
45,55240493,-46786,157,36,314
45,11609325,5822,71,19,93
45,1961016750,24743,227,48,179
45,682500,-59,59,16,230
45,3413124,329,47,14,112
45,2575288248,-6859,19,7,295
45,8869784,-3483,43,13,262
45,58024967,7452,23,8,74
45,1366365,1247,43,13,119
45,79893275,33872,73,20,157
45,11595672,-7831,191,42,441
45,197287475,27924,179,40,282
46,8627619,-3629,191,42,74
46,539539,86,43,13,99
46,1146181491,-156134,151,35,264
46,9176622,5921,191,42,371
46,100842000,-35711,67,18,395
46,155815296,-86621,97,24,329
46,1348307961,-324539,31,10,411
46,2087681505,-1080511,53,15,536
46,13481272,-5053,163,37,187
47,2066350,-107,107,27,59
47,6194188,-5183,73,20,212
47,18571735,-26378,109,28,420
47,5480678665,434701,167,38,398
48,9835826,3431,73,20,85
48,3279584,2119,163,37,151
48,79366625,51972,71,19,126
48,2622675,703,37,11,65
48,11154000,10619,41,12,166
48,144945900,81947,227,48,147
48,1311975,989,43,13,206
49,1134903,-355,71,19,48
49,626363276,-866769,83,22,534
49,781105325,-519808,131,31,249
49,86806489,-40748,167,38,613
49,58980565,-52851,223,47,231
49,2491217575,-2944251,101,25,487
49,11330319,-22261,197,44,539
50,804440,267,89,23,54
50,12057136,-5459,103,26,169
50,77154077,-46531,79,21,184
50,205724883,-143405,43,13,229
50,462699523,-504125,109,28,371
50,2927131207,-4079378,191,42,489
51,633864,85,17,6,39
51,633600,-179,179,40,169
51,1821388800,541733,181,41,265
51,3168256,-639,71,19,215
51,123633664,46759,107,27,269
51,164725407,-57133,97,24,151
51,1346689344,-91031,73,20,189
51,10782720,8477,173,39,215
51,10777536,3293,89,23,259
52,12914679690,-10720343,103,26,190
52,9221721696,-10706899,223,47,407
52,4498659,-262,131,31,79
52,54660177,30422,53,15,100
52,642978,275,11,4,113
53,799708,447,149,34,81
53,135107500,32391,61,17,134
53,20796875,16089,173,39,234
53,26374985,-628,157,36,130
53,114287600,-6723,83,22,158
53,5266121875,-1807376,71,19,203
53,108688125,-11371,137,32,99
53,102265625,-39783,149,34,136
53,7198048,4699,127,30,237
53,5595040,213,71,19,134
53,13590720,3283,67,18,196
53,21581560,1513,89,23,196
53,40761875,-436,109,28,195
53,11994367,5452,47,14,171
53,31972941,2501,61,17,160
53,25563447,-12905,89,23,193
53,3996993,688,43,13,278
53,99891792,-15833,223,47,262
53,10385793,-4600,23,8,281
53,51102051,-50653,37,11,214
53,3195731,-1313,101,25,221
54,5997810,-1139,67,18,75
54,1636250,173,173,39,179
54,1090089,-629,37,11,82
54,1090397,-321,107,27,194
54,1482572949,-803531,179,40,181
54,17436237,-15251,151,35,269
55,10635625,1957,103,26,87
55,19508125,13067,179,40,124
55,103757500,79237,79,21,153
55,7197354549,-2524826,211,46,213
55,2769916149,731774,127,30,127
55,80642628,3979,173,39,145
55,11525976,6169,199,45,226
55,887250,1111,101,25,162
55,43483770,62959,167,38,283
55,93087478,42883,61,17,132
56,428717762,-38485,179,40,729
